 Script Name, Automation Percentage,Automation Percentage New
 Activity_Count_Post_Processing_1,0,0
 ASW_PSO_ADJUSTMENT_RECON_REP_LOAD,100,100
 ASW_PSO_PAYMENT_RECON_REP_LOAD,100,100
 ASW_TEP_BILLER_TRANSACTION_REPORT_LOAD,100,100
 ASW_TEP_EMM_USAGE_EVENT_REPORT_LOAD,100,100
 ASW_TEP_EOD_BALANCE_REPORT_LOAD,98,100
 ASW_TEP_EOD_NON_BALANCE_REPORT_LOAD,100,100
 ASW_TEP_MRC_BALANCE_REPORT_LOAD,100,100
 ASW_TEP_OCS_TRANSACTION_REPORT_LOAD,100,100
 AWL_NTM_Usage_Events_Data_FileProcess,0,0
 AWL_REPLENISHMENT_FAILURE_REP_LOAD,100,100
 AWL_REPLENISHMENT_SUCCESS_REP_LOAD,100,100
 AWL_SUCCESSFUL_RECHARGE_REP_LOAD,100,100
 AWS_SUBS_INACTIVITY_FILE_MONTHLY_LOAD,96,100
 CommonUtils,100,
 DL_MBYT_EDW_SP_INCIDENT_RESPONSE_LOAD,100,100
 EPP_REPLENISHMENT_FAILURE_REP_LOAD,100,100
 FOPS_ANALYTICS_DOOR_INFO_SF,100,100
 FOPS_ANALYTICS_QLIK_SUB_REGISTRATION_EXTRACT_SP,100,100
 FOPS_ANALYTICS_SP_CYBERTRON_WLK_FWD,100,100
 FOPS_ANALYTICS_SP_DOOR_PRODUCTIVITY,100,100
 FOPS_ANALYTICS_SP_LOAD_BASE_PERF_SYNC_DATA_NC,99,100
 FOPS_ANALYTICS_SP_MIDAS_ACT,100,100
 FOPS_ANALYTICS_SP_POS_ACT,100,100
 FOPS_ANALYTICS_SP_QLK_SECTION_AC,100,100
 FOPS_ANALYTICS_SP_RUN_ACT_SGMT_POST_FLOW,100,100
 FOPS_ANALYTICS_SP_RUN_FTR_SGMT_POST_FLOW,100,100
 FOPS_ANALYTICS_SP_RUN_REG_WALK_FWD,100,100
 FOPS_ANALYTICS_SP_STG_APPEND_FEATURE_ACTIVITY_NC2,100,100
 FOPS_ANALYTICS_SP_STG_APPEND_PORT_ACTIVITY_NC,100,100
 FOPS_ANALYTICS_SP_STG_PORT_DATA_NC,100,100
 FOPS_ANALYTICS_SP_STG_SUBSCRIBER_ACTIVITY_NC,100,100
 FOPS_ANALYTICS_SP_SUB_ACT,100,100
 FOPS_ANALYTICS_SP_SUB_PORT_ACT,100,100
 FOPS_ANALYTICS_SP_TMP,100,100
 FOPS_ANALYTICS_SP_TRIGGER_PERFSYNC_PROCESS,99,99
 GLIESE_COMLINK_MARKET_SHARE_DMA_MONTHLY_LOAD,100,100
 GLIESE_COMLINK_MARKET_SHARE_MSA_DENSITY_MONTHLY_LOAD,100,100
 GLIESE_COMLINK_MARKET_SHARE_MSA_MONTHLY_LOAD,100,100
 GLIESE_COMLINK_NATIONAL_PORT_DAILY_LOAD,100,100
 MasterController,100,97
 MasterControllerTaskGETCDC,100,100
 MasterControllerTaskGETCDC_LDAP,100,100
 MasterControllerTaskMSTTYP,0,0
 MasterControllerTaskMSTTYP_LDAP,0,0
 MasterControllerTaskPREUPD,100,100
 MasterControllerTaskPREUPD_LDAP,100,100
 MasterControllerTaskTDBTEQ,0,
 MasterControllerTaskTVDBLD,100,100
 MasterControllerTaskTVDBLD_LDAP,100,100
 MasterController_LDAP,100,97
 MBYT_DSR_CCPA_ACCESS_REQUEST_LOAD,100,
 MBYT_DSR_CCPA_DSR_DATA_SUBJECT_LOAD,100,100
 MBYT_DSR_CCPA_DSR_REQUEST_HEADER_LOAD,100,100
 MBYT_DSR_CCPA_DSR_REQUEST_MATCH_LOAD,100,100
 MERCURY_ACCESSORY_ORDER_DETAIL_LOAD,98,98
 MERCURY_ACCESSORY_ORDER_LOAD,98,98
 MERCURY_ACCOUNT_PAYMENT_TYPE_LOAD,98,98
 MERCURY_ACCOUNT_SUBSCRIBER_ACTIVITY_LOAD,98,98
 MERCURY_ACCOUNT_SUBTYPE_LOAD,97,97
 MERCURY_ACTIVATIONSANALYSISSUMMARY_LOAD,0,100
 MERCURY_ACTIVE_SUBSCRIBER_LONGEVITY_SNAPSHOT_LOAD,99,99
 MERCURY_ACTIVITY_LOAD,97,97
 MERCURY_ACT_PORT_REQUEST_HISTORY_LOAD,98,98
 MERCURY_ADJUSTMENT_ACTIVITY_REASON_LOAD,97,97
 MERCURY_ADJUSTMENT_DECOMPOSE_LOAD,97,98
 MERCURY_ADJUSTMENT_LOAD,98,98
 MERCURY_ADJUSTMENT_TAX_DETAIL_LOAD,99,99
 MERCURY_ALLANT_SUBSCRIBER_ACTIVITY_DETAIL_LOAD,94,100
 MERCURY_ALLANT_SUBSCRIBER_BEHAVIOR_SNAPSHOT_LOAD,98,98
 MERCURY_ALLANT_SUBSCRIBER_LOAD,99,99
 MERCURY_AMDOCS_DAILY_MANAGER_RP_SUBSCRIBER_LOAD,100,100
 MERCURY_AMDOCS_FAST_ACCOUNT_ANALYSIS_LOAD,100,100
 MERCURY_AMDOCS_METRO_KPI_ACTIVITY_FINAL_LOAD,100,100
 MERCURY_AMDOCS_METRO_KPI_DAILY_SANITY_CHECK,100,100
 MERCURY_APPLE_EDI_EXTRACT,100,100
 MERCURY_APPLY_CREDIT_ADJUSTMENT_LOAD,98,98
 MERCURY_ASSURANT_CLAIMS_LOAD,98,98
 MERCURY_ASSURANT_PHP_ENROLLMENT_EXTRACT_LOAD,100,100
 MERCURY_ASSURANT_PHP_ENROLLMENT_EXTRACT_LOAD_02252021,100,100
 MERCURY_BALANCE_TRANSFER_LOAD,97,97
 MERCURY_BILLING_STATEMENT_LINE_CHARGES_LOAD,97,97
 MERCURY_BILL_CYCLE_CONTROL_LOAD,100,100
 MERCURY_BLUJETT_RETAIL_TRAFFIC_LOAD,100,100
 MERCURY_BRIGHTPOINT_CUSTOMER_LOAD,100,100
 MERCURY_BTM_HISTORY_LOAD,97,97
 MERCURY_BTM_PAYMENT_LOAD,98,98
 MERCURY_BTM_USAGE_LOAD,100,100
 MERCURY_CALLIDUS_PORT_EXTRACT,100,100
 MERCURY_CALLIDUS_REBATE_TXNS_EXTRACT_LOAD,100,100
 MERCURY_CAMPAIGNS_LOAD,98,98
 MERCURY_CAMPAIGN_PROMOTION_LOAD,98,98
 MERCURY_CAMPAIGN_PROMOTION_LOAD_200911,98,98
 MERCURY_CANCELLED_ACCESSORY_ORDER_DETAIL_LOAD,97,97
 MERCURY_CANCELLED_ACCESSORY_ORDER_LOAD,97,97
 MERCURY_CHANNEL_DEALER_LOAD,98,98
 MERCURY_CHANNEL_INVENTORY_LOCATION_LOAD,98,98
 MERCURY_CHANNEL_USER_LOAD,98,98
 MERCURY_CHANNEL_USER_LOAD_sh_01282021,98,98
 MERCURY_CHARGE_ADJUSTMENT_DETAIL_LOAD,98,98
 MERCURY_CHARGE_DECOMPOSE_LOAD2,98,98
 MERCURY_CHARGE_LOAD2,98,98
 MERCURY_CHARGE_TAX_DETAIL_LOAD,99,99
 MERCURY_CHUB_SUBSCRIBER_EXT_DELTA_LOAD,100,100
 MERCURY_CHUB_SUBSCRIBER_EXT_SNAPSHOT_LOAD,100,100
 MERCURY_CHURN_REPORT_APPROVAL_LOAD,100,100
 MERCURY_CLARITAS_METRO_SEGMENTATION_LOAD,100,100
 MERCURY_COUPONS_LOAD,98,98
 MERCURY_COUPON_INVENTORY_LOAD,98,98
 MERCURY_CPNI_PREFERENCE_LOAD,97,97
 MERCURY_CRM_CASE_ACTION_LOAD,98,98
 MERCURY_CRM_CASE_DETAILS_LOAD,99,99
 MERCURY_CRM_CASE_HISTORY_DESCRIPTION_LOAD,97,97
 MERCURY_CRM_CASE_HISTORY_LOAD,98,98
 MERCURY_CRM_CASE_RULES_LOAD,97,97
 MERCURY_CRM_CASE_SOLUTION_CODES_LOAD,97,97
